Wall time,Step,Value,Error
1554987825.6832,1,49.5975112915039,50.6057357788086
1554987825.88489,2,50.5016593933105,40.5072593688965
1554987826.11295,3,45.1397819519043,31.1717967987061
1554987826.32402,4,43.7500877380371,29.2977485656738
1554987826.54153,5,41.0957794189453,27.279899597168
1554987826.768,6,39.2518768310547,26.9495010375977
1554987826.97935,7,39.4967536926269,24.8819942474365
1554987827.17933,8,41.6383819580078,24.041431427002
1554987827.41556,9,39.7093963623047,22.5184803009033
1554987830.61264,10,39.1493148803711,23.5506763458252
1554987830.89838,11,40.2672500610352,22.207426071167
1554987831.30007,12,40.3520698547363,20.789966583252
1554987832.1304,13,39.6059188842773,19.1599864959717
1554987834.30091,14,39.4120674133301,18.6754302978516
1554987837.46738,15,39.3299522399902,17.3594760894775
1554987840.60408,16,39.4058303833008,17.5115928649902
1554987844.08986,17,40.0224952697754,15.840407371521
1554987848.26416,18,39.2951278686523,15.9425630569458
1554987852.13627,19,39.491771697998,16.7084999084473
1554987859.00702,20,39.9782524108887,16.9254989624023
1554987862.74768,21,39.9029121398926,16.880033493042
1554987865.97585,22,40.6639785766602,16.6825561523438
1554987870.21994,23,40.6879196166992,16.3944454193115
1554987873.68195,24,41.304386138916,16.176025390625
1554987877.37441,25,41.835620880127,16.59596824646
1554987881.63952,26,41.8399810791016,16.2362098693848
1554987885.68743,27,41.7021331787109,16.4584999084473
1554987889.27934,28,42.0500831604004,16.2906150817871
1554987892.67902,29,42.7118034362793,16.3253479003906
1554987899.28372,30,43.0820465087891,16.0558338165283
1554987903.20164,31,43.100757598877,16.1080093383789
1554987906.89971,32,43.7840576171875,15.9612913131714
1554987910.7014,33,44.2615966796875,15.7547159194946
1554987913.74718,34,44.9431991577148,15.7244634628296
1554987917.2412,35,45.2296562194824,15.8190670013428
1554987920.66203,36,45.5206756591797,15.4506072998047
1554987924.07564,37,45.8176422119141,15.374363899231
1554987927.24877,38,46.236270904541,15.6437349319458
1554987930.42123,39,46.7652816772461,15.6779794692993
1554987936.01508,40,47.4495887756348,15.4954204559326
1554987939.35236,41,47.7771492004395,15.4794902801514
1554987942.39688,42,48.2447090148926,15.3124189376831
1554987945.59421,43,48.6802749633789,15.2916212081909
1554987948.74242,44,48.972583770752,15.0635795593262
1554987952.38279,45,49.1866111755371,15.1222362518311
1554987955.21819,46,49.7192878723145,15.1577377319336
1554987958.22744,47,50.3035850524902,14.8773651123047
1554987961.04169,48,50.8719825744629,14.6637001037598
1554987964.02815,49,51.3106575012207,14.4618768692017
1554987969.91729,50,51.5381622314453,13.9979314804077
1554987972.62139,51,52.0690574645996,14.079963684082
1554987975.86627,52,52.5088844299316,13.7302112579346
1554987978.75862,53,52.7739562988281,13.6826143264771
1554987981.59592,54,53.2285346984863,13.517970085144
1554987983.91377,55,53.645637512207,13.357741355896
1554987987.00075,56,53.9305686950684,13.192946434021
1554987989.379,57,54.3476676940918,13.0954961776733
1554987991.84698,58,54.767951965332,12.8957042694092
1554987993.65439,59,55.3013229370117,12.6756706237793
1554987998.90264,60,55.6786003112793,12.5012493133545
1554988001.13298,61,56.1609153747559,12.3060884475708
1554988003.49936,62,56.6310501098633,12.1444940567017
1554988006.1037,63,56.9638328552246,11.907642364502
1554988008.03859,64,57.4257698059082,11.7237129211426
1554988010.02724,65,57.8764190673828,11.5375804901123
1554988012.24081,66,58.2712783813477,11.3538627624512
1554988014.24731,67,58.6708602905273,11.1631851196289
1554988016.53488,68,59.0191230773926,11.0153017044067
1554988018.455,69,59.4168357849121,10.8515319824219
1554988023.10175,70,59.7384605407715,10.737133026123
1554988025.13392,71,60.1081047058105,10.615984916687
1554988027.16231,72,60.4569892883301,10.4893493652344
1554988029.32101,73,60.6978034973145,10.1849527359009
1554988031.35758,74,61.0329399108887,10.051139831543
1554988033.70496,75,61.3028182983399,9.93586444854736
1554988035.49926,76,61.6262168884277,9.78012275695801
