Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
18,-1555.16333007813,-1358.75402832031,-1421.91467285156,-1321.22644042969,-1057.40808105469,-802.097839355469,-1156.51513671875,-1545.25634765625,-1501.11279296875,-1640.68884277344,-1336.0137512207,261.388479125304,-1640.68884277344,-802.097839355469
19,-1489.1025390625,-1480.33471679688,-903.615112304687,-1015.95562744141,-1083.8486328125,-1500.71276855469,-1248.96057128906,-1375.79357910156,-1414.20861816406,-1574.23059082031,-1308.67627563477,233.079035681342,-1574.23059082031,-903.615112304687
20,-1266.35327148438,-1202.61511230469,-559.662292480469,-1208.1318359375,-866.677368164063,-1182.03283691406,-1184.19909667969,-1567.33178710938,-1332.54248046875,-1121.4873046875,-1149.10333862305,270.584605611846,-1567.33178710938,-559.662292480469
21,-1516.09387207031,-1004.380859375,-1461.82299804688,-1204.26538085938,-1511.55908203125,-1509.70959472656,-859.599304199219,-1091.78820800781,-1232.13671875,-1333.81982421875,-1272.51758422852,234.206863461346,-1516.09387207031,-859.599304199219
22,-1408.13549804688,-1444.56530761719,-1316.27685546875,-1199.39074707031,-1383.49853515625,-1458.43811035156,-1208.86218261719,-1539.46826171875,-1358.00122070313,-1161.49645996094,-1347.81331787109,124.896223928426,-1539.46826171875,-1161.49645996094
23,-1598.92004394531,-1281.61364746094,-1342.49572753906,-1046.72668457031,-767.764343261719,-1366.46447753906,-1597.06518554687,-1389.18591308594,-1352.13562011719,-1325.67834472656,-1306.8049987793,245.50471881049,-1598.92004394531,-767.764343261719
24,-1473.9765625,-1132.81799316406,-1150.06616210938,-1386.55407714844,-1235.25610351563,-1090.94116210938,-1281.85961914063,-1469.17663574219,-1085.50988769531,-1099.99548339844,-1240.61536865234,154.840089407713,-1473.9765625,-1085.50988769531
25,-1307.64660644531,-1383.70666503906,-1254.16357421875,-1158.72436523438,-1147.29089355469,-1322.970703125,-1260.44714355469,-1407.40783691406,-936.183044433594,-1185.88012695313,-1236.44209594727,137.866161528702,-1407.40783691406,-936.183044433594
26,-1522.38830566406,-1491.41284179688,-923.198913574219,-1091.38525390625,-1118.30114746094,-1175.47021484375,-1482.005859375,-736.626098632813,-1075.25622558594,-1100.88549804688,-1171.69303588867,257.371890493364,-1522.38830566406,-736.626098632813
27,-1267.2490234375,-885.358642578125,-1409.73059082031,-1450.00854492188,-1264.83654785156,-655.476257324219,-1769.41418457031,-1331.43737792969,-1359.92944335938,-1200.51391601563,-1259.39545288086,305.964864200833,-1769.41418457031,-655.476257324219
28,-1309.10119628906,-1209.2021484375,-1282.20812988281,-1104.91381835938,-1567.95666503906,-1199.17272949219,-1538.77673339844,-1492.65222167969,-1474.19494628906,-1173.43286132813,-1335.16114501953,168.917609434137,-1567.95666503906,-1104.91381835938
29,-1440.4111328125,-902.012023925781,-786.4189453125,-1149.95654296875,-1420.16162109375,-1430.85998535156,-1467.88940429688,-1567.83129882813,-1403.63500976563,-1233.29211425781,-1280.24680786133,259.734936036081,-1567.83129882813,-786.4189453125
30,-1106.18591308594,-1066.498046875,-1191.71154785156,-1087.6875,-1634.32958984375,-1309.54821777344,-1560.41052246094,-1363.5146484375,-1037.89270019531,-1452.40539550781,-1281.01840820313,216.26369596349,-1634.32958984375,-1037.89270019531
31,-1287.13928222656,-984.64013671875,-1530.22766113281,-1098.60888671875,-1248.25793457031,-1349.81396484375,-1483.54406738281,-1402.95776367188,-939.66796875,-959.415649414063,-1228.42733154297,220.413298650533,-1530.22766113281,-939.66796875
32,-782.397827148438,-1240.51489257813,-1344.02258300781,-1373.34875488281,-788.488708496094,-1259.0087890625,-1441.02990722656,-1695.16235351563,-1350.08911132813,-1239.36535644531,-1251.34282836914,279.015250806424,-1695.16235351563,-782.397827148438
33,-1195.26672363281,-920.151306152344,-900.888610839844,-1015.89135742188,-1007.54327392578,-1091.56298828125,-1538.24230957031,-1134.36096191406,-1523.16943359375,-1370.5380859375,-1169.76150512695,234.187457397167,-1538.24230957031,-900.888610839844
34,-1178.29846191406,-1431.51879882813,-1331.94494628906,-1347.517578125,-695.452941894531,-1252.87902832031,-1546.85852050781,-1390.60485839844,-1329.71923828125,-1315.37573242188,-1282.01701049805,228.550633035397,-1546.85852050781,-695.452941894531
35,-1489.29260253906,-907.296936035156,-1205.60559082031,-1366.98889160156,-1241.66662597656,-1120.17138671875,-1385.10827636719,-1274.49011230469,-1230.529296875,-1083.55065917969,-1230.4700378418,166.804218911084,-1489.29260253906,-907.296936035156
36,-1496.07043457031,-1351.86450195313,-1399.55224609375,-894.368286132812,-699.174987792969,-802.598327636719,-928.02490234375,-799.18701171875,-1092.29357910156,-1425.89782714844,-1088.90321044922,303.046236831607,-1496.07043457031,-699.174987792969
37,-1166.21081542969,-1365.65576171875,-1361.71801757813,-1264.04248046875,-536.034790039063,-1373.11450195313,-1629.66430664063,-1158.697265625,-1222.0048828125,-969.111328125,-1204.62541503906,292.413958668237,-1629.66430664063,-536.034790039063
38,-1206.94030761719,-905.050048828125,-1320.07836914063,-1291.53076171875,-1348.66247558594,-1183.4091796875,-1596.76391601563,-1543.69738769531,-897.629760742188,-1362.53979492188,-1265.63020019531,231.55017160058,-1596.76391601563,-897.629760742188
39,-891.435791015625,-1582.02648925781,-788.376281738281,-793.278503417969,-1295.384765625,-945.350158691406,-951.528747558594,-1299.70654296875,-944.613647460938,-1333.09118652344,-1082.47921142578,272.123505353544,-1582.02648925781,-788.376281738281
40,-1277.08471679688,-1463.80126953125,-1440.24670410156,-1267.89392089844,-652.846557617188,-819.365539550781,-1162.828125,-1120.865234375,-1238.64636230469,-1327.47570800781,-1177.10541381836,258.686155794611,-1463.80126953125,-652.846557617188
41,-1200.46398925781,-1131.45983886719,-1458.24487304687,-1213.92980957031,-1379.43139648438,-656.659851074219,-1389.91723632813,-1184.0810546875,-977.970886230469,-1224.88647460938,-1181.70454101563,231.393738934426,-1458.24487304687,-656.659851074219
42,-1371.37426757813,-1162.62280273438,-456.533386230469,-794.242004394531,-1331.5478515625,-1433.85729980469,-1579.25231933594,-778.630493164063,-906.856506347656,-1068.60876464844,-1088.35256958008,352.778225202112,-1579.25231933594,-456.533386230469
43,-1027.60034179688,-1303.39489746094,-1295.24670410156,-871.070434570312,-419.48974609375,-1505.48852539063,-1548.92065429688,-695.342590332031,-773.82373046875,-1239.59289550781,-1067.99705200195,372.016873517539,-1548.92065429688,-419.48974609375
44,-1399.08862304688,-1346.45166015625,-1502.43359375,-1280.68811035156,-1056.11743164063,-1145.02038574219,-1390.703125,-770.869079589844,-1190.58813476563,-1190.05578613281,-1227.20159301758,209.786982579424,-1502.43359375,-770.869079589844
45,-1428.76123046875,-1145.72155761719,-802.759460449219,-807.430603027344,-1203.37255859375,-1449.62280273438,-1366.10852050781,-1605.29504394531,-919.561157226562,-926.43212890625,-1165.50650634766,291.157645765799,-1605.29504394531,-802.759460449219
46,-1076.08349609375,-1528.27661132813,-1465.25634765625,-1148.81848144531,-1146.66918945313,-664.24560546875,-1560.34545898438,-1273.65930175781,-812.423461914062,-1285.79321289063,-1196.15711669922,294.143043657769,-1560.34545898438,-664.24560546875
47,-1074.86962890625,-1218.88806152344,-1219.0576171875,-1088.78552246094,-1276.16625976563,-537.895874023438,-1340.4150390625,-812.758178710937,-1188.23547363281,-1299.60595703125,-1105.66776123047,250.261206560361,-1340.4150390625,-537.895874023438
48,-775.757873535156,-858.917114257813,-712.995910644531,-1075.98901367188,-802.13525390625,-756.758056640625,-1545.63354492188,-1403.84912109375,-1209.00927734375,-1062.64868164063,-1020.36938476563,290.769550811934,-1545.63354492188,-712.995910644531
49,-1029.07556152344,-1196.29821777344,-1588.98718261719,-797.010559082031,-595.8193359375,-1325.498046875,-1157.728515625,-1117.80334472656,-992.589599609375,-901.968017578125,-1070.27783813477,278.055016871057,-1588.98718261719,-595.8193359375
50,-918.208190917969,-1226.95397949219,-1306.9951171875,-1394.49633789063,-1073.12084960938,-1125.48266601563,-1544.6357421875,-1076.3505859375,-705.15380859375,-1229.21459960938,-1160.06118774414,239.1882578467,-1544.6357421875,-705.15380859375
51,-1075.91589355469,-1213.27099609375,-901.353881835938,-940.329772949219,-1080.84887695313,-1464.85290527344,-1075.52868652344,-1025.5703125,-1302.11181640625,-1207.51904296875,-1128.73021850586,170.666514436939,-1464.85290527344,-901.353881835938
52,-773.978942871094,-831.530090332031,-934.330261230469,-1199.96398925781,-1040.40698242188,-1275.06103515625,-1152.70227050781,-1114.0556640625,-676.291076660156,-1092.12036132813,-1009.04406738281,197.157408067943,-1275.06103515625,-676.291076660156
53,-1054.85961914063,-1174.26879882813,-1553.22351074219,-851.073974609375,-1177.50512695313,-1509.87927246094,-1403.83996582031,-945.675537109375,-655.837524414063,-1208.56140136719,-1153.47247314453,287.816469567087,-1553.22351074219,-655.837524414063
54,-1127.48461914063,-893.686706542969,-1352.51245117188,-1079.61096191406,-1000.97247314453,-1100.37902832031,-1199.76245117188,-985.429077148438,-765.075561523438,-976.582458496094,-1048.14957885742,163.607278870549,-1352.51245117188,-765.075561523438
55,-877.383361816406,-746.001708984375,-1550.76794433594,-1011.45281982422,-907.301574707031,-1049.10595703125,-1072.79321289063,-1095.88366699219,-968.181884765625,-1056.59106445313,-1033.54631958008,211.209420916288,-1550.76794433594,-746.001708984375
56,-1093.26306152344,-923.736511230469,-1148.14672851563,-1225.26721191406,-789.864074707031,-1422.19470214844,-1462.17614746094,-955.266357421875,-529.680114746094,-938.039245605469,-1048.76341552734,284.112942055324,-1462.17614746094,-529.680114746094
57,-1266.75598144531,-1247.77416992188,-1474.31372070313,-1161.06750488281,-1414.15502929688,-1387.88122558594,-1188.37292480469,-1044.49438476563,-669.180541992187,-905.810729980469,-1175.98062133789,247.54993295215,-1474.31372070313,-669.180541992187
58,-1208.87963867188,-1052.31872558594,-1444.83374023438,-1072.52893066406,-1060.78479003906,-1552.673828125,-726.208251953125,-899.95751953125,-1081.58264160156,-900.597229003906,-1100.03652954102,249.462219537778,-1552.673828125,-726.208251953125
59,-1098.55444335938,-1205.99365234375,-1243.86584472656,-782.997802734375,-779.9951171875,-940.029052734375,-1043.35107421875,-1152.66967773438,-853.369384765625,-1060.46020507813,-1016.12862548828,169.459114763384,-1243.86584472656,-779.9951171875
60,-539.109375,-832.008666992187,-1243.96154785156,-1284.30224609375,-1044.01794433594,-950.574829101562,-1134.19360351563,-1208.87243652344,-1088,-1187.79150390625,-1051.28321533203,226.988074145811,-1284.30224609375,-539.109375
61,-1141.16687011719,-686.221252441406,-970.281799316406,-1280.04125976563,-1058.5732421875,-795.959045410156,-1287.59680175781,-933.657287597656,-652.588073730469,-976.412414550781,-978.2498046875,222.707827713036,-1287.59680175781,-652.588073730469
