Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
24,-1095.16540527344,-1125.837890625,-1093.72912597656,-1070.40124511719,-1056.62121582031,-913.431640625,-1134.52319335938,-1090.58874511719,-1233.47802734375,-1192.58825683594,-1100.63647460938,85.6097037418773,-1233.47802734375,-913.431640625
25,-1011.10186767578,-1069.54052734375,-1187.59387207031,-1231.55383300781,-813.958251953125,-132.339309692383,-994.156677246094,-1229.0458984375,-1249.599609375,-1108.66918945313,-1002.75590362549,334.621437191007,-1249.599609375,-132.339309692383
26,-1271.14880371094,-1180.63391113281,-1227.07006835938,-1208.04931640625,-1045.78564453125,-946.572448730469,-758.717102050781,-1052.396484375,-1079.53051757813,-1428.82019042969,-1119.87244873047,186.615199394158,-1428.82019042969,-758.717102050781
27,-1044.99084472656,-540.739135742188,-1306.95947265625,-1186.28247070313,-776.073059082031,-380.575378417969,-895.996520996094,-1036.90844726563,-1210.79089355469,-1211.44616699219,-959.076239013672,309.169825377703,-1306.95947265625,-380.575378417969
28,-823.677001953125,-881.151977539063,-1058.25048828125,-896.117126464844,-988.080932617187,-879.42333984375,-1169.5830078125,-1165.26232910156,-1350.44128417969,-1270.69482421875,-1048.26823120117,183.465652875708,-1350.44128417969,-823.677001953125
29,-926.161926269531,-125.256004333496,-1033.03186035156,-1025.24536132813,-998.935302734375,-503.984252929688,-893.35205078125,-791.719177246094,-1180.47326660156,-1338.34558105469,-881.650478363037,346.43056571193,-1338.34558105469,-125.256004333496
30,-633.895324707031,-474.003814697266,-1182.1240234375,-907.172729492187,-1021.82049560547,-502.544586181641,-494.964416503906,-861.575073242187,-1047.36437988281,-1275.75134277344,-840.121618652344,297.643023566033,-1275.75134277344,-474.003814697266
31,-1028.15893554688,-125.351943969727,-906.442565917969,-1274.32800292969,-729.486450195313,-1038.22009277344,-759.204345703125,-764.502563476563,-1177.00427246094,-1254.99169921875,-905.769087219238,340.823768405955,-1274.32800292969,-125.351943969727
32,-946.909240722656,-490.833587646484,-1207.60546875,-817.865295410156,-824.397277832031,-3.08111500740051,-885.917785644531,-636.27294921875,-1335.87731933594,-1017.89990234375,-816.66599419117,377.91213663431,-1335.87731933594,-3.08111500740051
33,-512.476501464844,-126.268035888672,-1050.08349609375,-761.955688476563,-893.262817382812,-498.409698486328,-2.15955853462219,-641.590576171875,-1200.83862304688,-907.694946289062,-659.47399418354,385.380828254703,-1200.83862304688,-2.15955853462219
34,-848.333984375,-739.757934570313,-1146.26330566406,-638.7470703125,-633.210083007813,-130.533081054688,-672.71875,-853.048767089844,-657.386108398438,-1152.51513671875,-747.251422119141,291.293495359302,-1152.51513671875,-130.533081054688
35,-893.822570800781,-243.829254150391,-655.428588867188,-628.313598632812,-763.0927734375,-248.283676147461,-1363.28186035156,-894.665649414062,-1053.47644042969,-1177.94836425781,-792.214277648926,366.211212370479,-1363.28186035156,-243.829254150391
36,-624.78466796875,-3.0415050983429,-1089.65942382813,-832.941589355469,-622.439147949219,-527.952758789063,-3.05963063240051,-856.912963867188,-1019.16882324219,-914.57470703125,-649.453521776199,384.309119825377,-1089.65942382813,-3.0415050983429
