Step,Value,Min,Max,Error
87,-400.9193420410156,-773.8538818359375,-1.306869626045227,243.7619781494141
88,-442.8107604980469,-932.9656982421876,-1.3907526731491089,300.86187744140625
89,-390.0924072265625,-680.2515258789062,-2.4350426197052,189.83026123046875
90,-250.39920043945312,-789.1309204101562,-0.7837969660758972,207.68760681152344
91,-259.64401245117193,-811.0111083984375,-0.984339714050293,252.83653259277344
92,-347.3433837890625,-654.603271484375,-130.33009338378906,158.454833984375
93,-441.4702453613281,-1491.9146728515625,-122.2211685180664,347.5608825683594
94,-386.4850769042969,-1414.7392578125,-4.7028164863586435,305.0284423828125
95,-342.7143859863281,-1495.37451171875,-0.4860926866531372,368.5431823730469
96,-331.7722473144531,-1492.6654052734375,-1.843608856201172,350.9425354003906
97,-405.0574035644531,-1490.980224609375,-1.2241005897521973,438.0632019042969
98,-384.28466796875,-1497.5609130859375,-0.9622449278831482,447.84075927734375
99,-251.7027740478516,-771.8265380859375,-1.988196969032288,178.62803649902344
100,-234.44248962402344,-773.2307739257812,-1.2345452308654783,184.5939178466797
101,-332.7870178222656,-1500.5384521484375,-0.4796432256698608,337.39202880859375
102,-365.3908386230469,-1492.7335205078125,-122.02598571777344,320.2357177734375
103,-267.18777465820307,-1498.221923828125,-2.031036376953125,343.9223937988281
104,-372.3106384277344,-1492.822509765625,-0.3959322571754456,442.1251831054688
105,-333.3928527832031,-1494.5965576171875,-1.1321375370025637,335.58270263671875
106,-225.1824493408203,-577.6259765625,-1.0794558525085451,149.9457550048828
107,-286.5126037597656,-1490.9847412109375,-0.7987140417098999,360.8751220703125
108,-335.9308166503906,-1278.7860107421875,-2.6764934062957764,309.8182067871094
109,-288.9592590332031,-1232.125244140625,-2.4883620738983154,261.41668701171875
110,-377.8247375488281,-1495.195556640625,-1.0320153236389158,377.68695068359375
111,-222.36021423339844,-423.54339599609375,-1.6982363462448118,135.17485046386722
112,-302.84429931640625,-1314.8212890625,-118.55093383789062,280.23617553710943
113,-218.70188903808597,-402.89263916015625,-119.53650665283205,85.87982177734375
114,-306.0797424316406,-1429.974609375,-1.5376896858215332,302.7231750488281
115,-316.21868896484375,-1517.582763671875,-0.4140849411487579,453.3723449707031
116,-200.34103393554688,-407.0490417480469,-3.226325035095215,119.23116302490234
117,-229.7681427001953,-1133.7789306640625,-0.4217690825462341,263.0225830078125
118,-347.91510009765625,-1491.3349609375,-119.61913299560548,399.8297119140625
119,-281.6252746582031,-1492.80126953125,-120.68604278564452,320.9472961425781
120,-149.56385803222656,-344.34051513671875,-0.21884457767009732,96.3188018798828
121,-188.4971466064453,-418.9013366699219,-0.1601196974515915,112.16238403320312
122,-184.9884490966797,-397.7985229492188,-3.716796875,94.53076171875
123,-240.0806884765625,-1321.7666015625,-0.486627459526062,287.14434814453125
124,-288.1391296386719,-1492.7322998046875,-3.65954852104187,317.2757873535156
125,-225.69711303710938,-1360.6427001953125,-116.55782318115234,289.87445068359375
126,-217.0936584472656,-389.3579711914063,-123.14707946777344,81.72015380859375
127,-244.9214172363281,-591.9717407226562,-1.2637412548065186,136.38079833984378
128,-294.1916809082031,-1331.6077880859375,-119.35297393798828,275.13876342773443
129,-249.22882080078125,-1317.046142578125,-0.8188736438751221,294.4761657714844
130,-361.3834533691406,-1496.127685546875,-1.78425931930542,405.2489013671875
131,-176.04612731933594,-373.9224548339844,-1.109033226966858,92.85845947265624
132,-237.7955017089844,-957.4337768554688,-0.5747400522232056,207.80308532714844
133,-215.177734375,-919.1715087890624,-0.9772480726242064,204.31640625
134,-233.87472534179688,-1215.662353515625,-0.2806751430034637,270.63873291015625
135,-174.6220703125,-281.45895385742193,-113.75578308105469,67.10597229003906
136,-214.22537231445312,-404.87786865234375,-0.3201867640018463,120.5443344116211
137,-135.69999694824222,-374.19439697265625,-0.5791686177253723,101.2778778076172
138,-207.7973480224609,-411.33740234375,-0.28843024373054504,126.99089050292969
139,-167.42294311523438,-353.61907958984375,-2.352250099182129,85.59588623046875
140,-183.0844573974609,-424.15411376953125,-0.4077840447425842,105.57363891601562
141,-178.38442993164062,-560.7293090820311,-0.5105468034744263,117.89407348632812
142,-184.42420959472656,-404.6064147949219,-1.0060696601867676,112.72537994384766
143,-177.64390563964844,-371.7781982421875,-120.6196060180664,81.84925842285156
144,-298.77081298828125,-1493.399658203125,-123.68204498291016,377.9462890625
145,-262.61251831054693,-1494.3631591796875,-0.6095055937767029,322.60565185546875
146,-213.3501892089844,-522.9990844726561,-0.5939214825630188,137.9481201171875
147,-225.1654052734375,-780.5518188476562,-119.58313751220705,172.4720001220703
148,-172.68003845214844,-429.3858642578125,-0.6054414510726929,117.22257232666016
