Wall time,Step,Value
1554987825.6832035,1,93.09667205810547
1554987825.88489,2,90.4780502319336
1554987826.1129465,3,84.1690444946289
1554987826.3240185,4,82.6617431640625
1554987826.5415273,5,84.55706024169922
1554987826.7679954,6,84.74940490722656
1554987826.9793472,7,85.02253723144531
1554987827.179328,8,85.06412506103516
1554987827.4155583,9,82.8351058959961
1554987830.6126428,10,82.75182342529297
1554987830.8983834,11,75.7022476196289
1554987831.3000739,12,76.67290496826172
1554987832.1303997,13,68.73741149902344
1554987834.3009124,14,69.22913360595703
1554987837.467381,15,69.71965026855469
1554987840.6040778,16,70.70365142822266
1554987844.0898602,17,65.10633087158203
1554987848.2641609,18,66.13252258300781
1554987852.136271,19,67.17070770263672
1554987859.0070224,20,68.05937957763672
1554987862.747682,21,69.04710388183594
1554987865.9758496,22,69.938720703125
1554987870.2199368,23,69.87455749511719
1554987873.6819472,24,70.62230682373047
1554987877.374414,25,71.38688659667969
1554987881.6395178,26,71.66236877441406
1554987885.6874275,27,71.96833801269531
1554987889.2793434,28,72.51746368408203
1554987892.6790242,29,73.03273010253906
1554987899.2837183,30,73.18467712402344
1554987903.2016435,31,72.89500427246094
1554987906.89971,32,73.41834259033203
1554987910.7013984,33,73.93328094482422
1554987913.747183,34,74.3598403930664
1554987917.241199,35,74.91171264648438
1554987920.6620324,36,75.35443878173828
1554987924.075642,37,75.59151458740234
1554987927.2487733,38,75.77090454101562
1554987930.4212348,39,76.1810302734375
1554987936.0150836,40,76.49976348876953
1554987939.352364,41,76.54350280761719
1554987942.396885,42,76.30223083496094
1554987945.5942092,43,76.6472396850586
1554987948.7424169,44,76.97935485839844
1554987952.3827887,45,77.10059356689453
1554987955.2181907,46,77.25654602050781
1554987958.227444,47,77.42178344726562
1554987961.041694,48,77.6038589477539
1554987964.0281465,49,77.3774185180664
1554987969.917292,50,75.32189178466797
1554987972.6213946,51,75.5795669555664
1554987975.8662739,52,75.52179718017578
1554987978.75862,53,75.88002014160156
1554987981.595918,54,76.05113220214844
1554987983.9137654,55,76.33948516845703
1554987987.0007517,56,76.48976135253906
1554987989.3789964,57,76.74181365966797
1554987991.8469841,58,76.75189971923828
1554987993.6543941,59,76.9502944946289
1554987998.9026427,60,77.24295043945312
1554988001.1329806,61,77.26884460449219
1554988003.4993577,62,77.48259735107422
1554988006.1036954,63,77.72721862792969
1554988008.0385947,64,77.98088836669922
1554988010.0272362,65,78.19535827636719
1554988012.2408078,66,78.26155090332031
1554988014.2473066,67,78.34288024902344
1554988016.534884,68,78.43169403076172
1554988018.455004,69,78.57730865478516
1554988023.101747,70,78.80328369140625
1554988025.1339245,71,79.03038787841797
1554988027.1623082,72,78.79634857177734
1554988029.3210106,73,77.18070983886719
1554988031.3575828,74,77.33457946777344
1554988033.7049615,75,77.54733276367188
1554988035.4992616,76,77.69065856933594
1554988037.7213726,77,77.7151870727539
1554988039.4655693,78,77.76433563232422
1554988041.0642085,79,77.87353515625
1554988044.3084776,80,77.99905395507812
1554988046.045693,81,78.18009948730469
1554988047.7121413,82,78.36211395263672
1554988049.3438978,83,78.47371673583984
1554988050.9574451,84,78.38436126708984
1554988052.949975,85,78.49435424804688
1554988054.7260375,86,78.60702514648438
1554988056.556907,87,78.68067169189453
1554988058.3196485,88,78.65050506591797
1554988060.0486915,89,78.67326354980469
1554988062.5906553,90,78.7916030883789
1554988064.397306,91,78.869384765625
1554988065.9894662,92,78.9961929321289
1554988067.7691479,93,79.10344696044922
1554988069.2494855,94,79.22636413574219
1554988070.8781164,95,79.33775329589844
1554988072.5815425,96,79.50274658203125
1554988074.218168,97,79.5252685546875
1554988076.1779773,98,79.58965301513672
1554988077.7542448,99,79.65203094482422
1554988080.7166264,100,79.67658233642578
1554988082.5483077,101,79.6462631225586
1554988084.117548,102,79.63667297363281
1554988085.8247952,103,80.35565948486328
1554988087.34547,104,81.52191925048828
1554988088.7027857,105,81.52278900146484
1554988090.223679,106,81.56670379638672
1554988091.792423,107,82.71186828613281
1554988093.3383934,108,82.77412414550781
1554988094.6503034,109,83.96053314208984
1554988097.17918,110,84.04205322265625
1554988098.9022563,111,83.9769287109375
1554988100.4819632,112,84.0554428100586
1554988102.1918073,113,84.03533935546875
1554988104.0084422,114,85.21772766113281
1554988105.5898175,115,86.29682922363281
1554988107.2847056,116,86.22911071777344
1554988108.810095,117,86.20259857177734
1554988110.0676358,118,86.20591735839844
1554988111.6593766,119,86.03619384765625
1554988114.1901395,120,86.08809661865234
1554988115.6171467,121,86.02703857421875
1554988117.6172986,122,85.93138885498047
1554988118.9665184,123,85.92507934570312
