Wall time,Step,Value
1554987825.6832035,1,-32.16673278808594
1554987825.88489,2,-29.428485870361328
1554987826.1129465,3,-27.329572677612305
1554987826.3240185,4,-28.83858299255371
1554987826.5415273,5,-4.998779296875
1554987826.7679954,6,-8.2806978225708
1554987826.9793472,7,-10.55466079711914
1554987827.179328,8,-12.842650413513184
1554987827.4155583,9,-14.247817993164062
1554987830.6126428,10,-15.542047500610352
1554987830.8983834,11,-7.157260894775391
1554987831.3000739,12,1.346414566040039
1554987832.1303997,13,8.072446823120117
1554987834.3009124,14,5.077699184417725
1554987837.467381,15,4.379395008087158
1554987840.6040778,16,2.480394124984741
1554987844.0898602,17,7.175112247467041
1554987848.2641609,18,5.183664321899414
1554987852.136271,19,3.381649971008301
1554987859.0070224,20,7.557322978973389
1554987862.747682,21,10.749066352844238
1554987865.9758496,22,10.891839027404785
1554987870.2199368,23,8.87247085571289
1554987873.6819472,24,11.90206241607666
1554987877.374414,25,10.041777610778809
1554987881.6395178,26,8.406082153320312
1554987885.6874275,27,7.120826721191406
1554987889.2793434,28,5.782501220703125
1554987892.6790242,29,8.03229808807373
1554987899.2837183,30,6.966899394989014
1554987903.2016435,31,5.5482401847839355
1554987906.89971,32,7.865997314453125
1554987910.7013984,33,9.78648853302002
1554987913.747183,34,8.321670532226562
1554987917.241199,35,7.454303741455078
1554987920.6620324,36,6.522953033447266
1554987924.075642,37,5.581686973571777
1554987927.2487733,38,4.804801940917969
1554987930.4212348,39,6.711060047149658
1554987936.0150836,40,8.632293701171875
1554987939.352364,41,7.769137859344482
1554987942.396885,42,6.833666801452637
1554987945.5942092,43,8.426088333129883
1554987948.7424169,44,7.610591888427734
1554987952.3827887,45,6.916624546051025
1554987955.2181907,46,6.155615329742432
1554987958.227444,47,7.88262939453125
1554987961.041694,48,9.60700798034668
1554987964.0281465,49,11.022931098937988
1554987969.917292,50,12.627460479736328
1554987972.6213946,51,11.89215087890625
1554987975.8662739,52,13.207735061645508
1554987978.75862,53,14.593616485595703
1554987981.595918,54,15.911036491394043
1554987983.9137654,55,17.176172256469727
1554987987.0007517,56,18.324947357177734
1554987989.3789964,57,19.623733520507812
1554987991.8469841,58,20.938987731933594
1554987993.6543941,59,21.78612518310547
1554987998.9026427,60,22.965831756591797
1554988001.1329806,61,23.96980094909668
1554988003.4993577,62,24.922290802001953
1554988006.1036954,63,26.019569396972656
1554988008.0385947,64,27.06231689453125
1554988010.0272362,65,27.898635864257812
1554988012.2408078,66,28.89159393310547
1554988014.2473066,67,29.83728790283203
1554988016.534884,68,30.671398162841797
1554988018.455004,69,31.404367446899414
1554988023.101747,70,32.01899719238281
1554988025.1339245,71,32.73057174682617
1554988027.1623082,72,33.41796875
