Step,Value
0,78.2718734741211
1,171.578338623047
2,64.9781646728516
3,123.079399108887
4,119.682495117188
5,67.6865844726563
6,132.325454711914
7,165.277008056641
8,64.6191177368164
9,72.425895690918
10,55.8743934631348
11,76.6221542358398
12,65.2362518310547
13,165.996566772461
14,67.4636917114258
15,46.9551010131836
16,80.3939743041992
17,84.0310134887695
18,66.6496276855469
19,50.3667984008789
20,55.4080505371094
21,78.9826736450195
22,131.576416015625
23,102.703826904297
24,61.2526473999023
25,62.0817337036133
26,102.173095703125
27,110.261405944824
28,433.551239013672
29,276.019348144531
30,184.046646118164
31,111.146759033203
32,73.305290222168
33,97.4745407104492
34,64.5469284057617
35,114.405715942383
36,183.427780151367
37,146.487228393555
38,243.607833862305
39,189.798431396484
40,64.6227035522461
41,150.057235717773
42,218.818283081055
43,121.216583251953
44,125.557556152344
45,125.62329864502
46,176.498336791992
47,86.9125442504883
48,166.403091430664
49,117.387214660645
50,168.851715087891
51,113.338165283203
52,193.500717163086
53,141.308792114258
54,192.366409301758
55,137.833572387695
56,218.325210571289
57,198.051818847656
58,252.530868530273
59,129.82470703125
60,134.607040405273
61,187.393005371094
62,80.6109161376953
63,164.425567626953
64,241.914413452148
65,120.704643249512
66,84.9894714355469
67,78.3084564208984
68,79.6502990722656
69,209.65380859375
70,428.002624511719
71,92.0032958984375
72,210.968490600586
73,260.664093017578
74,247.649658203125
75,138.915084838867
76,189.279846191406
77,169.117462158203
78,182.548980712891
79,154.298675537109
80,78.5255126953125
81,145.262329101563
82,290.868896484375
83,100.281204223633
84,131.345596313477
85,313.467987060547
86,251.928359985352
87,280.361145019531
88,86.0103073120117
89,132.360397338867
90,184.609527587891
91,145.639022827148
92,107.838928222656
93,134.960220336914
94,97.3152313232422
95,156.338821411133
96,94.9253921508789
97,125.464179992676
98,112.925575256348
99,217.22412109375
100,213.601684570312
101,118.586723327637
102,105.634284973145
103,88.0636749267578
104,109.918655395508
105,288.637542724609
106,109.812446594238
107,166.811172485352
108,115.132591247559
109,81.5306167602539
110,358.664581298828
111,104.141258239746
112,235.148956298828
113,263.461273193359
114,79.1102447509766
115,95.0624160766602
116,147.131958007812
117,107.226020812988
118,159.726089477539
119,125.29874420166
120,92.9827423095703
121,164.846755981445
122,76.4282455444336
123,111.854568481445
124,334.848297119141
125,219.494964599609
126,173.216812133789
127,210.190460205078
128,171.746444702148
129,90.9901885986328
130,217.878997802734
131,277.502319335938
132,454.213562011719
133,164.334457397461
134,194.714447021484
135,246.003890991211
136,110.808380126953
137,93.3544769287109
138,158.328765869141
139,331.934265136719
140,173.994003295898
141,110.669563293457
142,83.9704132080078
143,89.6444778442383
144,140.505233764648
145,191.181198120117
146,236.442245483398
147,124.419525146484
148,186.976593017578
149,113.279724121094
150,102.565399169922
