Wall time,Step,Value,Min,Max,Error
1555179501.23428,80,44.6104469299316,20.8993091583252,67.2821426391602,13.1882514953613
1555179503.06385,81,45.1050605773926,21.7238731384277,67.5998992919922,13.0360984802246
1555179504.44274,82,45.6379241943359,22.4530372619629,67.8607635498047,12.886305809021
1555179506.20246,83,46.1249847412109,22.9698886871338,68.1766052246094,12.7412443161011
1555179507.67819,84,46.6271743774414,23.7113189697266,68.4901962280273,12.5872764587402
1555179509.15676,85,47.1044845581055,24.4896144866943,68.7959289550781,12.4372463226318
1555179510.85609,86,47.5464210510254,25.2144050598145,69.0711822509766,12.2670564651489
1555179512.5682,87,47.9843711853027,25.9416370391846,69.3678512573242,12.1092185974121
1555179513.87618,88,48.441951751709,26.6889400482178,69.6364288330078,11.9518718719482
1555179515.38546,89,48.876708984375,27.4509868621826,69.9099426269531,11.7894086837769
1555179527.29836,90,49.3427352905273,28.1111793518066,70.1553802490234,11.6488695144653
1555179528.74827,91,49.6966781616211,28.8061637878418,70.4218521118164,11.4930992126465
1555179530.344,92,50.092041015625,29.5041103363037,70.6651458740234,11.3528575897217
1555179531.71904,93,50.5007781982422,30.1432361602783,70.9193801879883,11.2274827957153
1555179533.30546,94,50.8830833435059,30.791561126709,71.1820983886719,11.1019926071167
1555179534.57771,95,51.2757186889648,31.4347400665283,71.4260940551758,10.9751987457275
1555179535.80366,96,51.6708908081055,32.085033416748,71.6274642944336,10.8569793701172
1555179537.24045,97,52.039924621582,32.7146415710449,71.8340225219727,10.7452487945557
1555179538.52419,98,52.4049072265625,33.2965888977051,72.007453918457,10.6278915405273
1555179539.63957,99,52.7799377441406,33.8561363220215,72.2358551025391,10.4977149963379
1555179549.54622,100,53.1485290527344,34.4580497741699,72.4527740478516,10.3843402862549
1555179550.84437,101,54.3097076416016,35.7105903625488,73.6977767944336,10.4414529800415
1555179552.21126,102,55.5137329101563,36.9930725097656,74.9766006469727,10.4291439056396
1555179553.42136,103,56.7372016906738,38.2348709106445,76.250617980957,10.4275779724121
1555179554.51082,104,57.9718284606934,39.4959831237793,77.5201034545898,10.4306859970093
1555179555.636,105,59.1899070739746,40.7489547729492,78.7873382568359,10.430552482605
1555179557.18254,106,60.3690528869629,41.9594421386719,80.0483322143555,10.4372673034668
1555179558.3536,107,61.5844078063965,43.2214546203613,81.3029327392578,10.4245166778564
1555179559.48376,108,62.8166770935059,44.4792556762695,82.5773468017578,10.4216785430908
1555179560.66995,109,64.0341339111328,45.7045249938965,83.8596649169922,10.4262161254883
1555179568.32052,110,65.2525405883789,46.9195251464844,85.1344680786133,10.4363241195679
1555179569.30186,111,65.953125,48.1402702331543,85.1624374389649,10.3585157394409
1555179570.5875,112,66.6104965209961,49.4461936950684,85.7320327758789,10.2048788070679
1555179571.71525,113,67.203483581543,50.6903457641602,86.6142425537109,9.99750804901123
1555179572.98794,114,67.8194885253906,51.8488006591797,86.6963500976562,9.74351406097412
1555179574.10352,115,68.5854415893555,52.9330749511719,86.7205123901367,9.48118686676025
1555179575.35067,116,69.1587829589844,53.9053497314453,86.7384872436523,9.24282455444336
1555179576.57035,117,69.7211990356445,53.9156379699707,87.8834991455078,9.2523078918457
1555179577.50218,118,70.2272109985352,55.1257057189941,88.1126174926758,9.08817005157471
1555179578.59707,119,70.7420043945313,55.2304153442383,88.1552352905274,8.84519577026367
1555179585.29594,120,71.2515869140625,55.2269248962402,88.1460952758789,8.78142261505127
1555179586.50041,121,71.7578582763672,56.3597106933594,89.3427429199219,8.76041030883789
1555179587.55681,122,72.3198547363281,57.5021591186524,89.4649200439453,8.6159086227417
1555179588.80862,123,72.8285903930664,57.4731330871582,89.6383209228516,8.5659122467041
1555179590.12159,124,73.1120147705078,57.4070434570313,89.7508239746094,8.61840438842773
1555179591.20378,125,73.6240081787109,58.5305404663086,89.8228073120117,8.67901611328125
1555179592.41379,126,74.1816711425781,58.4659156799316,89.977668762207,8.56346416473389
1555179593.48314,127,74.6821670532227,58.5140151977539,90.5515441894531,8.60928440093994
1555179594.54227,128,75.2113342285156,59.666877746582,90.6741943359375,8.52993011474609
