Wall time,Step,Value,Min,Max,Error
1555179055.87512,1,-27.6407585144043,-35.4242897033691,82.6742782592774,25.3214111328125
1555179056.23084,2,-33.2828941345215,-35.0901107788086,-30.8690910339355,1.0269079208374
1555179056.57242,3,-33.3280410766602,-34.4036750793457,-31.9342365264893,0.700117826461792
1555179056.91153,4,-33.4060440063477,-34.5611915588379,-32.149959564209,0.620298027992249
1555179057.25662,5,-33.0380859375,-34.5225067138672,-31.5610408782959,0.822216153144836
1555179057.6069,6,-33.5380058288574,-35.637336730957,-31.9984550476074,0.921429693698883
1555179057.95798,7,-33.2767562866211,-35.1375579833984,-31.6268501281738,0.908570945262909
1555179058.2992,8,-33.2618026733398,-34.6949119567871,-31.1876182556152,0.966759502887726
1555179058.64508,9,-33.2848129272461,-35.5502815246582,-32.1296310424805,1.02912557125092
1555179088.47497,10,-33.2327880859375,-34.3220062255859,-31.815860748291,0.746738195419312
1555179093.25875,11,20.2584133148193,-43.198616027832,93.1830749511719,58.1586837768555
1555179098.08677,12,20.7836818695068,-38.8708190917969,94.2223358154297,56.0198631286621
1555179102.69089,13,30.0729179382324,-48.8739013671875,91.6945724487305,55.9982643127441
1555179106.94584,14,25.5169773101807,-62.3487205505371,91.194580078125,56.8327674865723
1555179111.63471,15,11.7270355224609,-76.1848068237305,91.0918273925781,59.2071075439453
1555179115.65814,16,29.4718761444092,-33.5052947998047,92.7223358154297,55.9751167297363
1555179120.26135,17,30.4139270782471,-41.516960144043,94.3627166748047,52.8205413818359
1555179124.73643,18,39.4801330566406,-51.4949607849121,91.8877029418945,53.8167877197266
1555179129.00302,19,36.9508361816406,-36.5725021362305,94.6652374267578,53.6459159851074
1555179161.88769,20,39.6176452636719,-50.714958190918,94.551399230957,56.1689186096191
1555179166.131,21,31.4044876098633,-33.6661758422852,92.6379928588867,55.7838020324707
1555179170.1846,22,32.7129707336426,-59.7613525390625,94.3694915771484,56.2208595275879
1555179174.26254,23,35.1583290100098,-33.6845664978027,90.750846862793,54.919792175293
1555179177.86902,24,52.1340827941895,-41.4263687133789,94.0801620483398,52.950309753418
1555179182.08609,25,37.3312072753906,-56.6941947937012,94.4036712646484,55.7149391174316
1555179186.51713,26,31.4050693511963,-42.1310691833496,94.1808242797852,56.5736846923828
1555179190.5713,27,37.8155212402344,-53.6944046020508,95.0364074707031,55.7133674621582
1555179194.60472,28,35.7234344482422,-27.4728660583496,93.6497497558594,54.4711380004883
1555179199.10685,29,25.5450496673584,-45.6297073364258,92.5409545898438,56.5654754638672
1555179232.16089,30,45.0755348205566,-35.9460182189941,93.3997802734375,51.3246192932129
1555179237.10781,31,7.97543716430664,-48.3046798706055,90.2030258178711,52.608699798584
1555179241.04384,32,44.0777282714844,-39.0746040344238,92.9614410400391,52.6400108337402
1555179244.52687,33,41.8853378295898,-40.3862991333008,94.238899230957,58.9629554748535
1555179248.91332,34,52.1431846618652,-25.8797035217285,92.3625183105469,44.9337959289551
1555179253.38777,35,27.9245910644531,-34.5883178710937,91.5350112915039,55.2936553955078
1555179257.69321,36,27.4040603637695,-45.6383209228516,94.7350311279297,58.3232421875
1555179262.30102,37,38.2452545166016,-43.0057716369629,90.7047653198242,53.052116394043
1555179266.06021,38,49.8370323181152,-44.4211082458496,93.7750930786133,52.5075035095215
1555179269.66043,39,41.7633476257324,-39.1604957580566,92.6773834228516,55.8352355957031
1555179302.35749,40,26.8265495300293,-39.0439453125,93.305534362793,53.2906455993652
1555179306.31945,41,50.7669677734375,-27.8192672729492,93.0368270874024,48.5987815856934
1555179310.55345,42,45.0829734802246,-41.9774360656738,91.5569610595703,52.1890716552734
1555179314.05589,43,51.5760307312012,-32.7145919799805,95.1145706176758,51.0378494262695
1555179317.51822,44,53.4514198303223,-40.8012962341309,94.6744003295899,52.1712226867676
1555179321.07788,45,57.1127166748047,-35.0694580078125,94.3874359130859,47.7712173461914
1555179324.27201,46,63.5686531066895,-32.7021598815918,95.3125686645508,44.9960250854492
1555179327.64403,47,64.0303344726563,-27.4821300506592,94.8282852172852,44.5545845031738
1555179331.04949,48,57.4189872741699,-46.3819313049316,94.8231735229492,50.3495979309082
