Step,Value
21319,-487.835510253906
21324,-494.964904785156
21391,-474.586639404297
21409,-501.452697753906
21484,-482.2333984375
21523,-477.023620605469
21681,-488.3642578125
21723,-497.335296630859
21724,-502.327270507813
21789,-505.696502685547
21795,-483.434875488281
21821,-490.438232421875
21842,-514.701293945313
21848,-478.901184082031
22006,-490.259399414063
22245,-504.84228515625
22258,-515.776123046875
22292,-521.188842773438
22316,-513.167358398438
22330,-520.278930664063
22358,-540.186096191406
22472,-495.291320800781
22507,-483.677917480469
22544,-509.037811279297
22635,-489.595031738281
22765,-493.9306640625
22840,-492.235656738281
22930,-494.680267333984
22933,-518.107116699219
23080,-518.892150878906
23084,-518.702575683594
23127,-510.727966308594
23138,-512.127014160156
23148,-500.56298828125
23182,-525.551391601563
23192,-512.35791015625
23218,-506.339294433594
23263,-522.300415039063
23286,-503.632965087891
23337,-499.127868652344
23361,-520.447875976562
23380,-520.9267578125
23427,-495.881591796875
23540,-522.683349609375
23589,-514.599060058594
23670,-526.370361328125
23681,-531.55419921875
23701,-518.656127929688
23774,-509.224884033203
23831,-518.077026367188
23938,-516.587463378906
24079,-526.134155273438
24118,-520.182373046875
24147,-528.241088867188
24234,-523.926147460938
24282,-520.206115722656
24284,-536.754333496094
24322,-531.36669921875
24345,-530.81201171875
24416,-525.376953125
24557,-520.568115234375
24621,-518.202331542969
24697,-518.141357421875
24719,-528.637512207031
24727,-521.406555175781
24879,-539.927856445313
24901,-520.956176757813
24934,-538.506958007813
25008,-536.4912109375
25047,-536.140502929688
25133,-539.799194335938
25206,-545.03173828125
25231,-543.441772460938
25244,-523.884338378906
25253,-519.675903320313
25332,-544.790222167969
25391,-539.125305175781
25505,-556.349548339844
25520,-552.967102050781
25599,-544.374755859375
25686,-529.968444824219
25775,-554.020141601563
25812,-553.390930175781
25847,-542.02099609375
25921,-550.762817382813
26045,-541.911315917969
26066,-558.842895507813
26075,-557.46142578125
26091,-540.71435546875
26154,-551.321899414063
26155,-558.218627929687
26169,-543.831787109375
26292,-548.363403320313
26303,-540.896484375
26403,-542.110412597656
26470,-548.785461425781
26670,-537.939575195313
26797,-540.781127929688
26798,-533.5693359375
26827,-548.610412597656
26829,-545.176452636719
26928,-555.989990234375
27078,-548.1923828125
27142,-559.366516113281
27148,-562.408813476563
27154,-556.738830566406
27158,-561.14599609375
27159,-550.800354003906
27274,-560.6875
27329,-556.134948730469
27449,-548.688842773437
27505,-562.157775878906
27603,-553.221557617188
27613,-561.82470703125
27620,-560.055053710938
27638,-547.014770507812
27695,-562.309448242188
27739,-567.459777832031
27825,-562.401123046875
27916,-572.914306640625
27918,-553.372924804688
27950,-565.925415039063
27968,-564.66748046875
28251,-566.295532226563
28277,-545.698486328125
28321,-581.56591796875
28376,-568.772216796875
28438,-567.314270019531
28451,-555.885559082031
28543,-575.02587890625
28572,-577.081481933594
28611,-551.420471191406
28891,-559.252197265625
28970,-542.780578613281
28996,-559.169860839844
29018,-562.417358398438
29037,-554.3349609375
29062,-547.704650878906
29078,-568.16357421875
29090,-557.560180664063
29133,-556.3076171875
29201,-556.33203125
29263,-554.074829101563
29471,-561.436096191406
29478,-566.439331054688
29487,-555.396789550781
29537,-554.513793945312
29540,-561.106018066406
29561,-548.153686523438
29592,-545.725219726563
29611,-551.51416015625
29747,-555.994873046875
29828,-558.463989257813
29829,-558.845581054688
29863,-548.229248046875
30000,-568.626342773438
30005,-550.188720703125
30031,-558.922973632813
30077,-551.820251464844
30092,-559.455505371094
30174,-543.183715820313
30217,-553.23974609375
30243,-554.205688476563
30284,-556.208862304688
30327,-566.095275878906
30459,-564.988525390625
30466,-559.81494140625
30470,-544.795593261719
30572,-552.956726074219
30612,-552.2724609375
30706,-570.103576660156
30720,-550.559692382813
30738,-560.783508300781
30780,-556.558715820313
31052,-559.470825195313
31105,-557.786743164063
31224,-558.37060546875
31406,-556.053894042969
31443,-542.489440917969
31537,-566.588989257813
31696,-540.252807617188
31722,-546.644958496094
31762,-542.822387695313
31808,-552.84326171875
31873,-562.614685058594
31880,-546.505004882813
31888,-545.523193359375
31936,-560.15625
31945,-562.020751953125
32004,-550.764282226563
32017,-554.0517578125
32162,-554.623657226562
32174,-552.062255859375
32207,-552.057434082031
32249,-546.173828125
32314,-538.791198730469
32388,-550.330261230469
32435,-550.433959960938
32500,-552.130859375
32529,-549.507080078125
32542,-560.84765625
32611,-539.003967285156
32614,-552.371215820313
32657,-554.727416992187
32706,-548.838500976563
32762,-538.508850097656
32894,-543.410217285156
32902,-545.755493164063
32909,-548.348754882813
33002,-547.11572265625
33014,-541.24462890625
33034,-544.038940429688
33148,-536.890014648438
33152,-541.763610839844
33179,-539.662353515625
33181,-542.934814453125
33271,-539.784973144531
33341,-544.938781738281
33368,-553.909423828125
33375,-531.64013671875
33378,-552.424987792969
33403,-549.663879394531
33539,-539.827575683594
33631,-536.702392578125
33638,-525.743408203125
33728,-540.583435058594
33737,-534.8857421875
33749,-527.201293945313
33768,-534.838623046875
33785,-537.533935546875
33839,-531.033813476563
33851,-545.044860839844
33876,-531.884521484375
33913,-533.482299804688
33971,-536.689575195313
34017,-544.56884765625
34036,-546.322387695313
34043,-527.6494140625
34089,-552.566528320313
34141,-533.233703613281
34144,-531.175537109375
34179,-534.286499023438
34309,-531.7919921875
34361,-540.52587890625
34362,-536.978881835938
34383,-524.596435546875
34438,-537.04296875
34525,-533.214233398438
34526,-523.756103515625
34564,-531.318176269531
34599,-536.996826171875
34608,-531.287902832031
34647,-527.599060058594
34696,-532.777099609375
34751,-530.241638183594
34783,-526.853576660156
34878,-525.213745117188
35030,-526.455017089844
35079,-524.12744140625
35115,-533.5400390625
35177,-529.098449707031
35254,-532.089538574219
35257,-521.9013671875
35333,-518.821166992188
35354,-524.387023925781
35362,-515.620422363281
35375,-527.423461914063
35377,-528.149475097656
35383,-527.122619628906
35481,-523.556335449219
35483,-523.777709960938
35570,-520.922729492188
35573,-530.114990234375
35600,-520.39599609375
35771,-511.693481445313
35778,-526.683349609375
35844,-510.510986328125
35849,-523.720397949219
35953,-509.269348144531
35970,-520.770324707031
36037,-519.357055664063
36057,-513.524230957031
36164,-518.8779296875
36216,-510.826721191406
36231,-511.171813964844
36246,-496.288909912109
36262,-516.451782226563
36275,-509.316680908203
36310,-516.716796875
36329,-514.74560546875
36336,-516.657653808594
36569,-505.820007324219
36629,-511.656860351563
36659,-516.817321777344
36678,-513.859375
36767,-515.986267089844
36806,-509.110229492188
36810,-501.434936523438
36819,-504.216430664063
36825,-506.126586914063
36850,-499.736907958984
36907,-503.247680664063
37053,-508.281311035156
37169,-497.961730957031
37202,-505.0849609375
37311,-503.813110351563
37317,-501.032745361328
37326,-502.930786132812
37455,-497.552429199219
37489,-500.958465576172
37561,-502.943176269531
37745,-497.048187255859
37764,-500.656616210938
37807,-502.921813964844
37876,-499.145568847656
38091,-505.91357421875
38192,-504.463958740234
38247,-490.918853759766
38262,-497.5498046875
38331,-493.862030029297
38365,-489.422119140625
38439,-488.84375
38455,-489.943786621094
38466,-488.7744140625
38500,-486.535461425781
38580,-489.869079589844
38641,-490.400756835938
38642,-495.891479492188
38700,-486.251342773438
38720,-488.077270507813
38763,-494.1171875
38768,-492.971557617188
38840,-491.778747558594
38981,-482.209747314453
39004,-495.165710449219
39005,-498.036804199219
39141,-489.672912597656
39237,-478.340026855469
39296,-484.783264160156
39307,-479.846588134766
39548,-471.780151367188
39591,-485.87255859375
39632,-486.070617675781
39702,-488.275512695313
39730,-479.9833984375
39781,-492.024688720703
39878,-477.676818847656
39886,-487.443359375
39909,-482.455383300781
39914,-484.441162109375
39931,-479.545349121094
39982,-483.579498291016
40020,-472.611389160156
40224,-473.561828613281
40296,-480.828674316406
40401,-475.643737792969
40488,-479.724670410156
40500,-464.754821777344
40532,-479.750396728516
40560,-468.261322021484
40647,-476.196319580078
40657,-479.910247802734
40663,-483.610443115234
40667,-479.357604980469
40698,-478.753356933594
40700,-480.353759765625
40714,-475.961944580078
40720,-465.402404785156
40793,-478.241241455078
41040,-474.785125732422
41047,-483.226989746094
41128,-470.541046142578
41154,-470.168121337891
41244,-470.825775146484
41271,-475.209289550781
41341,-473.004943847656
41409,-469.080627441406
41425,-472.115905761719
41491,-471.337982177734
41539,-470.72314453125
41555,-465.650085449219
41584,-467.718780517578
41609,-481.906616210938
41628,-474.662658691406
41772,-473.618591308594
41780,-469.276062011719
41844,-476.633850097656
41871,-476.728149414063
42006,-475.105651855469
42013,-474.443664550781
42031,-470.898193359375
42134,-471.812774658203
42158,-467.665740966797
42168,-475.942779541016
42182,-473.937530517578
42244,-474.051666259766
42312,-474.558807373047
42339,-470.475738525391
42405,-466.79296875
42418,-477.241119384766
42450,-483.566101074219
42468,-475.692474365234
42478,-468.953796386719
42499,-474.889587402344
42608,-470.164001464844
42678,-464.652496337891
42776,-481.952758789063
42893,-466.875793457031
42931,-471.801635742188
42964,-480.087860107422
42981,-469.344421386719
43020,-473.276672363281
43262,-467.935333251953
43278,-478.052673339844
43422,-462.065460205078
43474,-456.999816894531
43518,-481.651672363281
43553,-476.500366210938
43583,-476.636474609375
43607,-470.651245117188
43631,-475.547058105469
43639,-469.497131347656
43650,-474.073425292969
43651,-474.619018554688
43711,-483.451416015625
43738,-471.788940429687
43742,-478.855773925781
43757,-481.820617675781
43783,-465.518493652344
43794,-472.08056640625
43805,-470.846435546875
43838,-479.353973388672
43923,-476.519897460938
43976,-477.236114501953
43980,-482.967071533203
43993,-471.053680419922
44073,-474.825347900391
44077,-472.567962646484
44104,-472.3330078125
44113,-470.186401367188
44200,-486.983520507813
44207,-465.060333251953
44251,-478.286315917969
44304,-472.038055419922
44339,-469.259460449219
44343,-468.307647705078
44404,-471.352722167969
44501,-482.273010253906
44539,-481.866577148438
44585,-470.305297851563
44586,-471.189697265625
44589,-479.134826660156
44645,-481.072021484375
44729,-481.138702392578
44753,-478.445373535156
44802,-471.930541992188
44816,-475.989959716797
44964,-479.831909179688
44994,-473.997253417969
45053,-481.184509277344
45104,-469.820098876953
45310,-478.139617919922
45319,-486.440551757813
45339,-477.110595703125
45370,-480.778625488281
45372,-483.246826171875
45507,-479.616485595703
45543,-482.993499755859
45587,-483.086669921875
45646,-468.954467773438
45658,-481.700469970703
45771,-475.585510253906
45808,-469.94970703125
45839,-482.157775878906
45874,-480.813232421875
46024,-478.482971191406
46033,-477.657379150391
46060,-468.939697265625
46090,-472.835815429688
46124,-473.005035400391
46169,-477.443359375
46177,-464.450103759766
46205,-476.305786132813
46318,-478.692230224609
46334,-461.652435302734
46357,-482.592163085937
46396,-478.748565673828
46413,-480.757080078125
46499,-468.399047851563
46508,-471.776672363281
46542,-467.877075195313
46645,-474.496887207031
46657,-472.000274658203
46696,-483.699951171875
46748,-482.545288085938
47036,-487.843048095703
47057,-485.716705322266
47198,-474.740966796875
47241,-483.332366943359
47294,-487.263519287109
47301,-473.345581054688
47321,-472.165283203125
47346,-474.851440429688
47347,-484.584106445313
47437,-485.421630859375
47489,-485.635345458984
47549,-472.209228515625
47556,-475.273590087891
47585,-478.582580566406
47638,-469.962524414063
47642,-489.309631347656
47655,-474.681610107422
47669,-483.65625
47693,-483.78857421875
47705,-474.474822998047
47737,-477.421081542969
47744,-477.371765136719
47758,-470.244354248047
47871,-475.43994140625
47882,-476.647552490234
47888,-490.194030761719
47929,-484.198577880859
47933,-475.114196777344
47947,-486.764587402344
47970,-483.861236572266
48076,-484.774047851563
48119,-480.643432617188
48163,-480.151763916016
48181,-476.887878417969
48197,-473.18408203125
48227,-484.788970947266
48296,-470.423217773438
48421,-488.053283691406
48464,-485.734252929688
48466,-472.210388183594
48503,-484.596252441406
48504,-482.328979492188
48514,-473.026184082031
48522,-474.744934082031
48547,-478.509246826172
48630,-473.548583984375
48635,-475.430053710938
48650,-478.471893310547
48844,-488.150512695313
48982,-482.773864746094
49099,-467.298767089844
