Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
14,-1213.03503417969,-1067.92797851563,-1234.44958496094,-1322.26525878906,-1330.73974609375,-1147.34887695313,-1147.34887695313,-1230.61364746094,-1441.49035644531,-1162.45275878906,-1229.76721191406,109.640511090035,-1441.49035644531,-1067.92797851563
15,-1231.25378417969,-1066.21020507813,-1238.71276855469,-1324.38842773438,-1316.03149414063,-1138.21362304688,-1138.21362304688,-1207.13330078125,-1444.29736328125,-1143.59619140625,-1224.805078125,112.401386084224,-1444.29736328125,-1066.21020507813
16,-1231.47839355469,-1108.53918457031,-1215.2109375,-1296.74536132813,-1326.00048828125,-1106.66479492188,-1106.66479492188,-1185.15405273438,-1432.05053710938,-1138.22900390625,-1214.67375488281,109.532527232182,-1432.05053710938,-1106.66479492188
17,-1229.03283691406,-1134.80346679688,-1225.17492675781,-1273.30163574219,-1285.70690917969,-1079.73608398438,-1079.73608398438,-1208.84069824219,-1451.12878417969,-1140.83044433594,-1210.82918701172,111.974719947456,-1451.12878417969,-1079.73608398438
18,-1226.37963867188,-1154.38317871094,-1220.5263671875,-1269.091796875,-1291.79760742188,-1084.72521972656,-1084.72521972656,-1209.87878417969,-1431.89599609375,-1167.70385742188,-1214.11076660156,103.225957865171,-1431.89599609375,-1084.72521972656
19,-1244.48571777344,-1172.0087890625,-1216.67663574219,-1254.47204589844,-1279.85827636719,-1061.19409179688,-1061.19409179688,-1212.82238769531,-1408.48120117188,-1147.43786621094,-1205.86311035156,103.798494794761,-1408.48120117188,-1061.19409179688
20,-1243.27001953125,-1172.7822265625,-1217.76013183594,-1243.59729003906,-1254.93640136719,-1027.62646484375,-1027.62646484375,-1190.92626953125,-1403.61535644531,-1178.31896972656,-1196.04595947266,110.114988320887,-1403.61535644531,-1027.62646484375
21,-1239.10363769531,-1191.06982421875,-1209.18786621094,-1230.73327636719,-1254.17053222656,-1037.01281738281,-1037.01281738281,-1192.46997070313,-1386.18005371094,-1168.89514160156,-1194.58359375,102.25009374041,-1386.18005371094,-1037.01281738281
22,-1242.87622070313,-1177.44445800781,-1212.96826171875,-1231.02575683594,-1238.67236328125,-1044.87512207031,-1044.87512207031,-1194.03833007813,-1378.07055664063,-1189.10095214844,-1195.39471435547,97.0408108298908,-1378.07055664063,-1044.87512207031
23,-1246.77001953125,-1178.83984375,-1214.33544921875,-1224.02551269531,-1222.91101074219,-1029.11608886719,-1029.11608886719,-1193.49230957031,-1385.78771972656,-1177.67993164063,-1190.20739746094,103.518176357793,-1385.78771972656,-1029.11608886719
24,-1240.453125,-1176.63134765625,-1209.31018066406,-1217.62451171875,-1215.98229980469,-1024.2958984375,-1024.2958984375,-1189.20458984375,-1379.44140625,-1178.30114746094,-1185.55404052734,102.890929596368,-1379.44140625,-1024.2958984375
25,-1231.27917480469,-1172.34777832031,-1208.44152832031,-1218.181640625,-1199.9013671875,-988.617614746094,-988.617614746094,-1190.79821777344,-1374.24780273438,-1175.51586914062,-1174.79486083984,113.628708585458,-1374.24780273438,-988.617614746094
26,-1232.81262207031,-1172.66650390625,-1209.15808105469,-1217.7919921875,-1193.97387695313,-987.00048828125,-987.00048828125,-1185.47509765625,-1362.91247558594,-1185.25830078125,-1173.40499267578,111.998974595507,-1362.91247558594,-987.00048828125
27,-1225.85620117188,-1149.26171875,-1212.78039550781,-1216.625,-1178.49597167969,-964.540283203125,-964.540283203125,-1179.97265625,-1357.2783203125,-1186.22827148438,-1163.55791015625,118.825077358004,-1357.2783203125,-964.540283203125
28,-1211.49267578125,-1139.68640136719,-1207.26147460938,-1205.17822265625,-1171.69543457031,-961.500427246094,-961.500427246094,-1179.447265625,-1357.0341796875,-1189.24487304688,-1158.40413818359,118.467182349978,-1357.0341796875,-961.500427246094
29,-1201.65368652344,-1104.7060546875,-1201.25354003906,-1198.9736328125,-1165.73828125,-945.723999023438,-945.723999023438,-1166.07739257813,-1350.94592285156,-1194.38635253906,-1147.51828613281,122.925612219022,-1350.94592285156,-945.723999023438
30,-1182.72839355469,-1083.6826171875,-1200.61584472656,-1189.24694824219,-1160.94091796875,-930.951354980469,-930.951354980469,-1155.92724609375,-1340.82653808594,-1197.09851074219,-1137.29697265625,125.923368102524,-1340.82653808594,-930.951354980469
31,-1177.74230957031,-1052.76867675781,-1191.12634277344,-1191.99157714844,-1147.02307128906,-934.41162109375,-934.41162109375,-1143.30065917969,-1335.54187011719,-1198.96606445313,-1130.72838134766,124.631984601634,-1335.54187011719,-934.41162109375
32,-1170.52880859375,-1035.20825195313,-1191.64135742188,-1180.30004882813,-1136.94104003906,-905.307556152344,-905.307556152344,-1127.4560546875,-1335.55236816406,-1193.30773925781,-1118.155078125,134.512483594694,-1335.55236816406,-905.307556152344
33,-1150.58776855469,-1007.66461181641,-1187.35168457031,-1167.62292480469,-1129.55688476563,-892.977294921875,-892.977294921875,-1112.73291015625,-1331.47009277344,-1184.65270996094,-1105.75941772461,137.620022968075,-1331.47009277344,-892.977294921875
34,-1141.69799804688,-999.785034179688,-1186.14318847656,-1152.06774902344,-1114.95837402344,-870.552490234375,-870.552490234375,-1105.09509277344,-1311.64416503906,-1183.70751953125,-1093.62041015625,140.968358931775,-1311.64416503906,-870.552490234375
35,-1134.61584472656,-978.186279296875,-1170.97998046875,-1137.10339355469,-1104.90515136719,-852.773376464844,-852.773376464844,-1099.08276367188,-1304.26794433594,-1183.54296875,-1081.82310791016,145.342275699746,-1304.26794433594,-852.773376464844
36,-1120.45385742188,-951.098937988281,-1168.72106933594,-1128.65441894531,-1091.50329589844,-843.750549316406,-843.750549316406,-1092.35583496094,-1296.34851074219,-1176.07165527344,-1071.27086791992,147.451589398167,-1296.34851074219,-843.750549316406
37,-1108.05261230469,-928.734436035156,-1161.86877441406,-1121.88208007813,-1083.52270507813,-837.914367675781,-837.914367675781,-1076.498046875,-1289.25463867188,-1174.58337402344,-1062.0225402832,148.646498073451,-1289.25463867188,-837.914367675781
38,-1099.41845703125,-907.570434570313,-1153.48217773437,-1112.42541503906,-1077.13171386719,-836.285766601563,-836.285766601563,-1064.89147949219,-1279.65246582031,-1174.33581542969,-1054.14794921875,148.199147904654,-1279.65246582031,-836.285766601563
39,-1091.09216308594,-904.337463378906,-1140.05004882813,-1100.21740722656,-1065.60302734375,-838.074462890625,-838.074462890625,-1053.74719238281,-1271.28051757813,-1163.60607910156,-1046.6082824707,143.517584437976,-1271.28051757813,-838.074462890625
40,-1082.51110839844,-894.175720214844,-1133.6953125,-1085.30285644531,-1053.19177246094,-820.271850585938,-820.271850585938,-1043.55480957031,-1265.13818359375,-1157.16967773438,-1035.52831420898,147.145668367715,-1265.13818359375,-820.271850585938
41,-1073.45788574219,-875.421569824219,-1124.76477050781,-1077.76684570313,-1043.66003417969,-818.952331542969,-818.952331542969,-1026.19067382813,-1246.63732910156,-1156.72741699219,-1026.25311889648,144.982618041044,-1246.63732910156,-818.952331542969
42,-1068.88928222656,-869.955993652344,-1119.13110351563,-1073.29223632813,-1033.80627441406,-808.469421386719,-808.469421386719,-1007.87579345703,-1238.60888671875,-1151.86889648438,-1018.03673095703,146.264255460246,-1238.60888671875,-808.469421386719
43,-1050.94262695313,-866.167236328125,-1107.68920898438,-1057.1337890625,-1021.54632568359,-804.486022949219,-804.486022949219,-999.384826660156,-1227.3828125,-1146.59045410156,-1008.58093261719,143.270927925882,-1227.3828125,-804.486022949219
44,-1038.38195800781,-846.580017089844,-1088.75769042969,-1044.50354003906,-1012.41851806641,-797.273010253906,-797.273010253906,-990.917602539063,-1211.33361816406,-1142.35278320313,-996.979174804688,142.258564289778,-1211.33361816406,-797.273010253906
45,-1028.93676757813,-833.233947753906,-1078.30114746094,-1026.80236816406,-998.394714355469,-787.792846679688,-787.792846679688,-968.986206054688,-1201.28332519531,-1139.99865722656,-985.152282714844,143.15334725436,-1201.28332519531,-787.792846679688
46,-1014.89782714844,-829.477722167969,-1068.53063964844,-1017.97607421875,-995.046752929687,-776.034301757813,-776.034301757813,-953.123901367188,-1191.81982421875,-1133.09851074219,-975.603985595703,143.535111809875,-1191.81982421875,-776.034301757813
