Step,Mean
1,0.899999976158142
2,0.899999976158142
3,0.899999976158142
4,0.899999976158142
5,0.899999976158142
6,0.899999976158142
7,0.899999976158142
8,0.899999976158142
9,0.899999976158142
10,0.899999976158142
11,0.865000009536743
12,0.861500024795532
13,0.857999980449677
14,0.854499995708466
15,0.851000010967254
16,0.847500026226044
17,0.843999981880188
18,0.840499997138977
19,0.837000012397766
20,0.833500027656555
21,0.829999983310699
22,0.826499998569489
23,0.823000013828278
24,0.819500029087067
25,0.8125
26,0.8125
27,0.809000015258789
28,0.805499970912933
29,0.801999986171722
30,0.798500001430512
31,0.795000016689301
32,0.791499972343445
33,0.787999987602234
34,0.784500002861023
35,0.781000018119812
36,0.777499973773956
37,0.773999989032745
38,0.770500004291534
39,0.767000019550324
40,0.763499975204468
41,0.759999990463257
42,0.756500005722046
43,0.753000020980835
44,0.749499976634979
45,0.742500007152557
46,0.742500007152557
47,0.739000022411346
48,0.735499978065491
49,0.73199999332428
50,0.728500008583069
51,0.725000023841858
52,0.721499979496002
53,0.717999994754791
54,0.71450001001358
55,0.711000025272369
56,0.707499980926514
57,0.703999996185303
58,0.700500011444092
59,0.697000026702881
60,0.693499982357025
61,0.689999997615814
62,0.686500012874603
63,0.683000028133392
64,0.679499983787537
65,0.672500014305115
66,0.672500014305115
67,0.669000029563904
68,0.665499985218048
69,0.662000000476837
70,0.658500015735626
71,0.654999971389771
72,0.65149998664856
73,0.648000001907349
74,0.644500017166138
75,0.640999972820282
76,0.637499988079071
77,0.63400000333786
78,0.630500018596649
79,0.626999974250793
80,0.623499989509583
81,0.620000004768372
82,0.61650002002716
83,0.612999975681305
84,0.609499990940094
85,0.602500021457672
86,0.602500021457672
87,0.598999977111816
88,0.595499992370606
89,0.592000007629395
90,0.588500022888184
91,0.584999978542328
92,0.581499993801117
93,0.578000009059906
94,0.574500024318695
95,0.570999979972839
96,0.567499995231628
97,0.564000010490418
98,0.560500025749207
99,0.556999981403351
100,0.55349999666214
101,0.550000011920929
102,0.546500027179718
103,0.542999982833862
104,0.539499998092651
105,0.53250002861023
106,0.53250002861023
107,0.528999984264374
108,0.525499999523163
109,0.522000014781952
110,0.518499970436096
111,0.514999985694885
112,0.511500000953674
113,0.508000016212463
114,0.504499971866608
115,0.500999987125397
116,0.497500002384186
117,0.493999987840652
118,0.490500003099442
119,0.486999988555908
120,0.483500003814697
121,0.479999989271164
122,0.476500004529953
123,0.47299998998642
124,0.469500005245209
125,0.462500005960465
126,0.462500005960465
127,0.458999991416931
128,0.45550000667572
129,0.451999992132187
130,0.448500007390976
131,0.444999992847443
132,0.441500008106232
133,0.437999993562698
134,0.434500008821487
135,0.430999994277954
136,0.427500009536743
137,0.42399999499321
138,0.420500010251999
139,0.416999995708466
140,0.413500010967255
141,0.409999996423721
142,0.40650001168251
143,0.402999997138977
144,0.399500012397766
145,0.392500013113022
146,0.392500013113022
147,0.388999998569488
148,0.385500013828278
149,0.381999999284744
150,0.378500014543533
151,0.375
152,0.371499985456467
153,0.368000000715256
154,0.364499986171722
155,0.361000001430511
156,0.357499986886978
157,0.354000002145767
158,0.350499987602234
159,0.347000002861023
160,0.34349998831749
161,0.340000003576279
162,0.336499989032745
163,0.333000004291534
164,0.329499989748001
165,0.322499990463257
166,0.322499990463257
167,0.319000005722046
168,0.315499991178513
169,0.312000006437302
170,0.308499991893768
171,0.305000007152557
172,0.301499992609024
173,0.298000007867813
174,0.29449999332428
175,0.291000008583069
176,0.287499994039535
177,0.284000009298325
178,0.280499994754791
179,0.27700001001358
180,0.273499995470047
181,0.270000010728836
182,0.266499996185303
183,0.263000011444092
184,0.259499996900558
185,0.252499997615814
186,0.252499997615814
187,0.248999997973442
188,0.24549999833107
189,0.241999998688698
190,0.238499999046326
191,0.234999999403954
192,0.231499999761581
193,0.228000000119209
194,0.224500000476837
195,0.221000000834465
196,0.217500001192093
197,0.214000001549721
198,0.210500001907349
199,0.207000002264976
200,0.203500002622604
201,0.200000002980232
202,0.200000002980232
203,0.200000002980232
204,0.200000002980232
205,0.200000002980232
