Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
11,-1297.50671386719,-1085.06213378906,-1270.83068847656,-1259.25390625,-1291.88854980469,-1181.41528320313,-1209.61999511719,-1166.71081542969,-1300.55102539063,-1173.62219238281,-1223.64613037109,71.8414907973071,-1300.55102539063,-1085.06213378906
12,-1311.2470703125,-1106.69738769531,-1265.16052246094,-1286.28466796875,-1314.00134277344,-1214.5869140625,-1223.2021484375,-1182.41516113281,-1322.4111328125,-1188.59411621094,-1241.46004638672,70.5172172463558,-1322.4111328125,-1106.69738769531
13,-1328.19287109375,-1096.26684570313,-1283.56628417969,-1309.35229492188,-1308.32836914062,-1192.29504394531,-1246.55395507813,-1174.35131835938,-1343.93383789063,-1206.12268066406,-1248.89635009766,80.0004594760573,-1343.93383789063,-1096.26684570313
14,-1319.56787109375,-1104.11975097656,-1282.66845703125,-1320.46813964844,-1309.19958496094,-1218.09228515625,-1237.01147460938,-1192.93176269531,-1340.21398925781,-1206.630859375,-1253.09041748047,74.5548571897673,-1340.21398925781,-1104.11975097656
15,-1311.92053222656,-1103.99133300781,-1282.29870605469,-1328.90625,-1292.84130859375,-1241.765625,-1251.93383789063,-1188.60510253906,-1347.06884765625,-1229.92724609375,-1257.92587890625,72.4917027720686,-1347.06884765625,-1103.99133300781
16,-1311.03552246094,-1138.58874511719,-1291.541015625,-1333.58618164063,-1286.28051757813,-1220.31311035156,-1240.91333007813,-1215.69311523438,-1342.36669921875,-1225.42236328125,-1260.57406005859,63.5302077164025,-1342.36669921875,-1138.58874511719
17,-1316.7001953125,-1148.45178222656,-1295.34631347656,-1343.28063964844,-1297.61511230469,-1215.33935546875,-1224.67199707031,-1232.83654785156,-1342.8359375,-1235.96704101563,-1265.3044921875,63.592744088352,-1343.28063964844,-1148.45178222656
18,-1329.94812011719,-1160.13525390625,-1302.3779296875,-1342.05529785156,-1284.27026367188,-1192.38159179688,-1220.88549804688,-1250.19323730469,-1351.62915039063,-1258.45166015625,-1269.23280029297,64.7455979453567,-1351.62915039063,-1160.13525390625
19,-1338.32470703125,-1176.98779296875,-1281.39038085938,-1324.89221191406,-1273.72180175781,-1208.60949707031,-1222.36315917969,-1256.8037109375,-1354.92272949219,-1275.07153320313,-1271.30875244141,57.6473477882936,-1354.92272949219,-1176.98779296875
20,-1334.72619628906,-1178.26916503906,-1245.30395507813,-1319.05419921875,-1253.36950683594,-1207.28063964844,-1220.45495605469,-1272.33020019531,-1353.8037109375,-1267.39233398438,-1265.19848632813,56.8526212590965,-1353.8037109375,-1178.26916503906
21,-1343.36267089844,-1169.98876953125,-1255.61437988281,-1313.58801269531,-1265.66430664063,-1221.68200683594,-1203.27136230469,-1263.73291015625,-1348.01013183594,-1270.55554199219,-1265.54700927734,57.9503627199887,-1348.01013183594,-1169.98876953125
22,-1346.30688476563,-1182.46960449219,-1258.37182617188,-1308.39721679688,-1271.02038574219,-1232.44372558594,-1203.52551269531,-1276.26635742188,-1348.46423339844,-1265.59838867188,-1269.28641357422,54.9084380953283,-1348.46423339844,-1182.46960449219
23,-1357.2900390625,-1186.78015136719,-1262.02941894531,-1297.02026367188,-1249.1396484375,-1238.27062988281,-1220.63586425781,-1281.17590332031,-1348.62390136719,-1268.21057128906,-1270.91763916016,53.2487288843769,-1357.2900390625,-1186.78015136719
24,-1362.15197753906,-1184.53173828125,-1257.3642578125,-1300.75085449219,-1248.56127929688,-1232.13195800781,-1223.18688964844,-1289.00927734375,-1337.66076660156,-1261.20153808594,-1269.65505371094,53.7511937062095,-1362.15197753906,-1184.53173828125
25,-1359.97180175781,-1192.49877929688,-1257.23620605469,-1295.06982421875,-1244.51037597656,-1235.76550292969,-1224.67724609375,-1293.74523925781,-1321.60168457031,-1258.18872070313,-1268.32653808594,49.561096298939,-1359.97180175781,-1192.49877929688
26,-1366.21862792969,-1203.99548339844,-1244.388671875,-1287.23571777344,-1239.65625,-1233.44641113281,-1234.57458496094,-1272.31750488281,-1312.12683105469,-1252.13854980469,-1264.60986328125,47.0083149973335,-1366.21862792969,-1203.99548339844
27,-1362.55310058594,-1192.19409179688,-1250.51245117188,-1293.26440429688,-1240.5888671875,-1212.04016113281,-1254.38342285156,-1274.50720214844,-1313.89733886719,-1250.2265625,-1264.41676025391,49.4813347338941,-1362.55310058594,-1192.19409179688
28,-1360.64404296875,-1192.80151367188,-1251.64440917969,-1286.53759765625,-1252.28051757813,-1211.58056640625,-1264.54028320313,-1282.29809570313,-1319.62219238281,-1247.48388671875,-1266.94331054688,48.9559149097527,-1360.64404296875,-1192.80151367188
29,-1363.39465332031,-1182.77429199219,-1235.60217285156,-1281.82788085938,-1258.06958007813,-1219.14196777344,-1271.55236816406,-1292.14404296875,-1322.51916503906,-1246.99450683594,-1267.40206298828,51.74258956796,-1363.39465332031,-1182.77429199219
30,-1354.82104492188,-1178.8984375,-1234.13916015625,-1275.35656738281,-1270.61157226563,-1222.15551757813,-1281.18090820313,-1294.52307128906,-1313.03161621094,-1253.84155273438,-1267.85594482422,49.3192603106959,-1354.82104492188,-1178.8984375
31,-1352.6376953125,-1172.63195800781,-1243.69030761719,-1269.65502929688,-1269.89038085937,-1226.27355957031,-1287.70886230469,-1298.02099609375,-1300.98767089844,-1244.34399414063,-1266.58404541016,48.8926440365976,-1352.6376953125,-1172.63195800781
32,-1334.81774902344,-1174.75329589844,-1246.82568359375,-1272.89538574219,-1254.8466796875,-1227.29650878906,-1292.50012207031,-1310.431640625,-1302.52209472656,-1244.18835449219,-1266.10775146484,46.6491913324017,-1334.81774902344,-1174.75329589844
33,-1330.58898925781,-1167.0380859375,-1236.3427734375,-1265.107421875,-1247.3525390625,-1223.18334960938,-1299.94677734375,-1305.09619140625,-1309.20837402344,-1248.01721191406,-1263.18817138672,49.2371984801073,-1330.58898925781,-1167.0380859375
34,-1326.10986328125,-1174.81701660156,-1239.15466308594,-1267.53125,-1231.12023925781,-1224.05676269531,-1307.208984375,-1307.61108398438,-1309.81164550781,-1249.99829101563,-1263.74197998047,48.511823258485,-1326.10986328125,-1174.81701660156
35,-1330.77221679688,-1167.17358398438,-1238.19604492188,-1270.37292480469,-1231.42163085938,-1221.08862304688,-1309.43469238281,-1306.66479492188,-1307.54638671875,-1245.24267578125,-1262.79135742188,51.1655171287286,-1330.77221679688,-1167.17358398438
36,-1335.36376953125,-1172.30383300781,-1242.67822265625,-1259.92834472656,-1216.63696289063,-1209.4638671875,-1298.83996582031,-1292.56823730469,-1301.56713867188,-1250.26086425781,-1257.96112060547,49.9499291418383,-1335.36376953125,-1172.30383300781
37,-1330.79211425781,-1177.52954101563,-1245.8955078125,-1260.03955078125,-1198.24230957031,-1213.88684082031,-1307.78112792969,-1288.95007324219,-1299.41687011719,-1242.66223144531,-1256.51961669922,50.3394854994072,-1330.79211425781,-1177.52954101563
38,-1327.53283691406,-1170.35900878906,-1247.84765625,-1260.86828613281,-1202.20068359375,-1213.08483886719,-1315.38598632813,-1295.65393066406,-1288.84350585938,-1245.81689453125,-1256.75936279297,51.156969044928,-1327.53283691406,-1170.35900878906
39,-1316.35083007813,-1180.91467285156,-1236.06640625,-1248.87878417969,-1204.59008789063,-1206.21984863281,-1306.05627441406,-1295.7578125,-1280.01708984375,-1248.0546875,-1252.29064941406,46.4731720607378,-1316.35083007813,-1180.91467285156
40,-1315.36926269531,-1187.98681640625,-1241.1708984375,-1249.35412597656,-1190.79650878906,-1196.54846191406,-1302.4755859375,-1291.38549804688,-1278.98278808594,-1250.04016113281,-1250.41101074219,46.9799328504,-1315.36926269531,-1187.98681640625
