Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
42,0.987021625041962,0.98701286315918,0.986939907073975,0.987068891525269,0.986967980861664,0.986954212188721,0.986897587776184,0.987071812152862,0.986836850643158,0.986982345581055,0.986975407600403,7.35140448032325E-05,0.986836850643158,0.987071812152862
45,0.986114978790283,0.986112356185913,0.986030161380768,0.986164271831512,0.986063480377197,0.98604679107666,0.985983967781067,0.986173808574676,0.985922932624817,0.986070990562439,0.986068373918533,7.79271076657463E-05,0.985922932624817,0.986173808574676
71,0.978291273117065,0.978344142436981,0.978151857852936,0.978435754776001,0.978257179260254,0.97821307182312,0.978111445903778,0.978383123874664,0.978077292442322,0.978280603885651,0.978254574537277,0.000117185824164,0.978077292442322,0.978435754776001
94,0.971419811248779,0.971519947052002,0.971258044242859,0.971626460552216,0.971342861652374,0.971305549144745,0.971258163452148,0.971557796001434,0.971240639686584,0.971441268920898,0.971397054195404,0.000137610801594,0.971240639686584,0.971626460552216
167,0.950064122676849,0.950160801410675,0.949837625026703,0.95028555393219,0.949939966201782,0.949846804141998,0.949866116046906,0.950166881084442,0.949945390224457,0.95011579990387,0.950022906064987,0.000157009446202,0.949837625026703,0.95028555393219
229,0.932333707809448,0.932400465011597,0.932120680809021,0.932548582553864,0.932195544242859,0.932094812393188,0.932050943374634,0.932434141635895,0.932252705097198,0.932348310947418,0.932277989387512,0.000162597088422,0.932050943374634,0.932548582553864
234,0.930921852588654,0.930981636047363,0.930704534053802,0.931135892868042,0.930779933929443,0.930671393871307,0.930626153945923,0.931018888950348,0.930838406085968,0.930934309959412,0.930861300230026,0.000165593709623,0.930626153945923,0.931135892868042
255,0.925011038780212,0.925062954425812,0.924779415130615,0.925194203853607,0.924869418144226,0.92473030090332,0.924684286117554,0.925096213817596,0.92492264509201,0.925018608570099,0.924936908483505,0.000168557336095,0.924684286117554,0.925194203853607
273,0.919995307922363,0.920012593269348,0.919760882854462,0.920153915882111,0.91984611749649,0.919704735279083,0.91964191198349,0.920048773288727,0.919898688793182,0.919948637485504,0.919901156425476,0.000162520495091,0.91964191198349,0.920153915882111
308,0.910272121429443,0.910274147987366,0.910041391849518,0.91041111946106,0.910127341747284,0.909955143928528,0.909911751747131,0.910347998142242,0.91020941734314,0.910251259803772,0.910180169343948,0.000166478335029,0.909911751747131,0.91041111946106
