Step,Value,Min,Max,Error
101,-816.310546875,-1215.7645263671875,-504.4615783691406,231.77626037597656
102,-770.5192260742188,-1210.0257568359375,-268.2103271484375,259.63653564453125
103,-737.062255859375,-1077.1629638671877,-413.4857177734375,211.21966552734372
104,-695.1215209960938,-1074.42431640625,-254.1572570800781,252.47804260253903
105,-696.0369262695312,-1222.8187255859375,-132.29484558105472,302.9820556640625
106,-728.6430053710938,-1266.1676025390625,-135.98422241210938,275.16317749023443
107,-664.6823120117188,-941.5108642578124,-384.0472106933594,185.1094055175781
108,-750.90625,-1314.1373291015625,-525.2999267578125,211.9438934326172
109,-740.1682739257812,-1273.6429443359375,-135.87348937988278,322.24267578125
110,-683.1881103515625,-1418.2467041015625,-2.962090492248535,382.489990234375
111,-640.102294921875,-1396.93359375,-131.965087890625,341.21051025390625
112,-683.7037353515625,-1479.205078125,-2.4969463348388667,340.10595703125
113,-662.6698608398438,-1353.7962646484375,-126.04156494140624,359.9746398925781
114,-700.94970703125,-1467.4903564453125,-128.96736145019528,333.8715515136719
115,-793.1812744140625,-1532.203369140625,-136.58171081542972,385.96514892578125
116,-726.3046875,-1404.6143798828125,-2.5663950443267822,380.1221923828125
117,-654.9927368164062,-1480.421875,-125.0802230834961,332.80328369140625
118,-656.6890869140625,-1227.5791015625,-264.61074829101557,307.0888977050781
119,-644.6613159179688,-1104.8662109375,-130.02565002441406,288.9839782714844
120,-697.4298095703125,-1229.6097412109375,-130.27354431152344,310.0137023925781
121,-714.2351684570312,-1373.52978515625,-122.1345672607422,388.4383544921875
122,-633.6268310546875,-1513.1778564453125,-258.83804321289057,361.283447265625
123,-654.2238159179688,-1553.900390625,-139.51596069335938,370.52716064453125
124,-742.2929077148438,-1525.0318603515625,-259.78750610351557,367.9268798828125
125,-542.59619140625,-917.8405151367188,-130.89112854003906,232.12339782714844
126,-592.9261474609375,-1165.7421875,-123.32323455810548,303.3448181152344
127,-641.9050903320312,-1380.9747314453125,-128.46478271484378,350.0204162597656
128,-518.2005615234375,-1107.147705078125,-3.3436553478240967,324.70037841796875
129,-431.69183349609375,-787.9593505859375,-131.09700012207028,192.32862854003903
130,-569.5342407226562,-1210.896484375,-127.2504425048828,339.6803894042969
131,-514.6967163085939,-1049.062744140625,-130.39607238769528,299.8900146484375
132,-519.9814453125,-1189.891845703125,-127.46621704101562,296.6552429199219
133,-515.0140991210939,-966.2041625976562,-123.55257415771484,288.7627258300781
134,-538.0764770507811,-1062.5745849609377,-126.95645141601562,272.5723876953125
135,-421.0054626464844,-925.2056274414062,-0.6216309666633606,263.735595703125
136,-391.93548583984375,-861.3624267578125,-123.69799041748048,226.9100646972656
137,-458.94366455078125,-782.26611328125,-126.47598266601562,171.92080688476562
138,-371.97174072265625,-507.15460205078125,-249.3169708251953,83.3900146484375
139,-419.0436401367188,-772.9421997070312,-125.7302703857422,195.12527465820312
140,-337.6585388183594,-604.3260498046875,-12.491477966308596,197.4575958251953
141,-361.1401062011719,-895.544677734375,-3.2930116653442383,248.3975372314453
142,-273.143310546875,-530.7229614257811,-119.27937316894531,118.93445587158205
143,-388.6095581054688,-783.1908569335938,-123.5727310180664,218.5206298828125
144,-322.4183654785156,-638.798583984375,-123.93505859375,156.8584747314453
145,-330.5990905761719,-656.8697509765625,-125.43718719482422,159.5635528564453
146,-247.281494140625,-515.6654052734375,-3.3424272537231445,149.2562713623047
147,-234.16416931152344,-387.1549682617188,-2.051626920700073,117.18008422851562
148,-281.6534423828125,-889.2581176757812,-1.2295891046524048,258.47412109375
149,-252.6770172119141,-516.91455078125,-128.14266967773438,118.1168441772461
150,-185.5631256103516,-520.5380249023439,-0.1294918805360794,157.10858154296875
151,-303.97540283203125,-739.253662109375,-0.6781235337257385,213.9347076416016
152,-446.6809997558594,-925.348876953125,-125.71282196044922,271.88064575195307
153,-167.5288543701172,-396.9362487792969,-1.9507082700729368,123.8719482421875
154,-229.27378845214844,-600.6351928710938,-2.653859138488769,161.01364135742188
155,-219.3616943359375,-513.6477661132811,-121.94202423095705,121.0145034790039
156,-210.3562774658203,-389.6549682617188,-0.6002085208892822,114.10311126708984
157,-164.66807556152344,-392.5461120605469,-3.63385009765625,110.73262786865234
158,-161.63092041015625,-394.08251953125,-1.791433334350586,120.92791748046876
159,-198.4384765625,-539.556884765625,-0.5972245931625366,153.63433837890625
160,-183.29345703125,-352.0573425292969,-119.81397247314452,76.12966918945312
161,-180.3230743408203,-430.6691589355469,-1.844293594360352,146.675537109375
162,-209.1518402099609,-386.0034484863281,-117.06280517578124,100.31013488769531
163,-183.1626434326172,-611.5116577148438,-2.7455873489379883,154.86672973632812
164,-173.5141143798828,-375.5647888183594,-0.7410293817520142,96.5976104736328
165,-177.86215209960938,-389.1385192871094,-4.1519436836242685,126.23595428466795
166,-200.10797119140625,-382.3186950683594,-1.512035608291626,98.88994598388672
167,-227.4139862060547,-987.521728515625,-1.422068476676941,260.194580078125
168,-280.04852294921875,-916.85791015625,-0.579232394695282,232.08184814453125
169,-201.9117889404297,-364.06842041015625,-3.679905891418457,103.69367980957031
170,-178.57785034179688,-390.7458190917969,-1.4912110567092896,116.61314392089844
171,-205.2549743652344,-371.2067565917969,-1.0466700792312622,106.40681457519531
172,-158.2801971435547,-345.3736877441406,-0.7895756363868713,102.77790832519531
173,-248.7998352050781,-949.3494873046876,-122.2748794555664,236.1911163330078
174,-263.06857299804693,-1048.286865234375,-1.2073289155960083,284.55609130859375
175,-256.7491455078125,-1053.7286376953123,-124.5652084350586,264.2445068359375
176,-170.67674255371094,-259.55825805664057,-125.67436981201172,57.04211807250977
177,-195.50738525390625,-376.7937316894531,-1.170002579689026,121.52356719970705
178,-304.4112243652344,-1226.9073486328125,-1.65215265750885,314.9920959472656
179,-173.51698303222656,-368.2068786621094,-4.022297859191895,94.74217224121094
180,-222.1501007080078,-655.4474487304688,-122.62525939941406,149.83114624023438
181,-188.5836181640625,-362.86016845703125,-1.9705034494400024,113.16080474853516
182,-157.73818969726562,-248.92257690429688,-0.883905827999115,74.20948028564453
183,-147.55072021484375,-382.6457824707031,-0.5038254261016846,127.77291870117188
184,-103.78534698486328,-247.43006896972656,-0.7194877862930298,71.1739501953125
185,-127.11271667480469,-372.9934387207031,-0.5215595960617065,119.69605255126952
186,-195.8498687744141,-374.2448120117188,-115.33436584472656,97.7755126953125
187,-263.80258178710943,-1259.36669921875,-0.6446797847747803,332.436767578125
188,-214.8482208251953,-495.15704345703125,-0.33959782123565674,150.84808349609375
189,-158.23812866210938,-351.3009338378906,-1.5815978050231934,88.40452575683594
190,-292.5470886230469,-1343.2657470703125,-2.3989126682281494,345.3971862792969
191,-341.5323181152344,-1280.3067626953125,-1.4509247541427612,313.1070251464844
192,-139.853271484375,-271.48861694335943,-2.231010913848877,70.03551483154297
193,-128.14103698730472,-263.60086059570307,-1.3692423105239868,78.16984558105469
194,-217.68478393554688,-522.9046020507811,-2.3917856216430664,132.93391418457028
195,-210.58384704589844,-389.0232849121094,-1.9054983854293823,111.76155853271484
196,-292.9980773925781,-1344.460205078125,-122.89443969726562,340.3920593261719
197,-189.2743377685547,-359.857177734375,-0.7716777324676514,103.35494232177734
198,-253.09259033203125,-1202.88134765625,-0.6091446876525879,320.4457092285156
199,-179.37030029296875,-453.6092834472656,-0.7263573408126831,125.09839630126952
200,-218.17404174804688,-771.2654418945312,-1.442964792251587,203.9486083984375
