Wall time,Step,Value,Min,Max,Error
1555199383.36051,1,-33.0123405456543,-35.132453918457,-30.9955272674561,0.995041191577911
1555199383.41477,2,-33.3533935546875,-35.0599212646484,-31.471658706665,0.973624408245087
1555199383.48139,3,-33.4225616455078,-35.9008598327637,-32.4134826660156,0.859211683273315
1555199383.53571,4,-33.0967788696289,-34.4025955200195,-31.3866004943848,0.907468259334564
1555199383.58967,5,-27.9353313446045,-34.9409484863281,71.82080078125,22.8993167877197
1555199383.64406,6,-33.6060371398926,-35.1210556030273,-31.3712730407715,0.769982933998108
1555199383.69904,7,-33.1657218933105,-34.885929107666,-31.0352096557617,0.955199241638184
1555199383.75231,8,-33.1610069274902,-35.0502891540527,-31.6982707977295,1.08493947982788
1555199383.80825,9,-33.2719535827637,-34.61181640625,-30.7952480316162,0.96395868062973
1555199411.78678,10,-33.5096588134766,-35.426700592041,-31.4267711639404,1.06544268131256
1555199416.63631,11,51.9767150878906,-39.5230407714844,92.0452499389648,50.6377792358398
1555199421.57898,12,21.6618022918701,-55.5610122680664,92.218994140625,58.0054321289063
1555199427.18384,13,5.21422243118286,-76.4367065429687,86.2751159667969,60.4158439636231
1555199432.68176,14,-7.17909955978394,-76.7235260009766,92.7072219848633,59.7043685913086
1555199437.3094,15,21.8010387420654,-76.9922103881836,94.4460830688477,62.7848587036133
1555199442.11386,16,18.105749130249,-74.0279388427734,92.4439010620117,64.903205871582
1555199447.2616,17,22.5343112945557,-71.2706298828125,94.873893737793,60.5254859924316
1555199452.16111,18,15.9033317565918,-76.5896224975586,93.8464813232422,68.7992782592773
1555199457.03782,19,18.3527870178223,-73.9371337890625,91.0420684814453,63.6455230712891
1555199489.74005,20,28.7213172912598,-73.168701171875,91.3909225463867,62.9720993041992
1555199494.53524,21,25.5065765380859,-70.3126068115234,91.4363021850586,64.3284454345703
1555199500.12602,22,1.50309789180756,-55.7526016235352,90.8867416381836,50.604175567627
1555199504.79077,23,23.74853515625,-73.6887969970703,92.0702972412109,62.9681510925293
